date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2011-01-01,1.5,0.5,2.2,0.7,140,267.6,12.6,30.2,1019.2,0
2011-01-02,0.4,-0.2,1,0.6,130,271.7,11.5,28.8,1021.3,0
2011-01-03,-0.2,-0.7,0.3,2.2,140,257.7,8.3,25.2,1022.9,0
2011-01-04,-1.2,-6,1.5,0,150,183.8,6.8,23,1018.6,162
2011-01-05,-3.8,-6,0.3,0,150,156.9,11.9,46.1,1011.4,318
2011-01-06,4,0.2,8.2,12.2,140,167.8,13.3,47.9,997.9,0
2011-01-07,5.5,1.6,8.4,3.9,40,174.7,11.2,48.2,1006.4,0
2011-01-08,9.8,6.3,13.1,2.2,0,192.2,15.5,50.4,1004.9,150
2011-01-09,4.6,0.2,8.9,9,0,223.4,10.1,38.9,1011,36
2011-01-10,1.2,-1.5,4.8,0,0,169.9,7.2,21.6,1021.2,408
2011-01-11,2.3,-1.4,5.6,0.2,0,168.8,14,40.3,1009.5,162
2011-01-12,4.6,3,7.1,8.7,0,223.3,13.3,38.9,1013.5,0
2011-01-13,9.4,7.1,11.1,24.7,0,236.5,13.3,45,1009.8,0
2011-01-14,10.8,8.2,11.8,6.3,0,235.8,19.8,46.8,1011.2,0
2011-01-15,8.6,6.7,9.7,2.7,0,232.7,15.5,40.7,1019.8,0
2011-01-16,8.6,2.9,11.8,0,0,197.9,10.8,35.3,1023.8,126
2011-01-17,6.2,1.1,10.8,0,0,143.6,6.8,32.8,1022.7,384
2011-01-18,6.4,3.5,8.9,4.2,0,282.8,9,31.3,1022.9,0
2011-01-19,2.5,0.9,4.2,3.6,0,280.4,8.6,30.6,1027.8,6
2011-01-20,0.6,-0.6,1.8,0.6,0,332.2,7.6,27.4,1030.1,0
2011-01-21,-1,-1.7,-0.4,0.4,0,294.4,6.5,18.7,1034.8,0
2011-01-22,0.4,-0.5,1.4,1.9,10,197.6,3.2,9,1031.3,0
2011-01-23,1.5,0.3,2.4,0.8,0,294.6,4.3,15.5,1026.4,0
2011-01-24,2.2,1.1,3.4,0.5,0,271.2,9.4,27.7,1023.5,0
2011-01-25,2.8,1.7,3.9,5.3,0,262.1,17.6,53.6,1009.8,12
