date;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
37257;-2;-12;8;0;160;2616;148;396;10351;0
37258;-6;-47;2;29;150;2388;97;367;10343;0
37259;-52;-8;-29;0;130;1063;155;486;10379;420
37260;-51;-82;-16;0;110;115;76;349;10368;444
37261;-67;-113;26;0;110;629;29;166;10381;444
37262;-11;-95;14;4;110;2035;29;126;10349;0
37263;7;2;14;3;100;1588;25;101;10338;0
37264;12;-14;35;0;90;1148;61;248;10347;162
37265;-9;-36;42;0;90;1268;25;144;10374;390
37266;-23;-65;38;0;80;1005;5;274;10355;420
37267;3;-37;29;18;80;1523;86;281;10308;168
37268;18;7;26;26;80;1733;58;223;10324;0
37269;25;-8;43;0;50;109;54;22;10301;0
37270;-1;-24;2;0;50;1342;61;256;10279;402
37271;-15;-27;18;0;50;1283;119;385;10199;210
37272;5;-13;19;3;40;1644;5;223;10212;0
37273;14;-2;38;3;40;1473;97;407;10225;0
37274;24;11;32;2;40;1867;9;252;1020;0
37275;44;15;7;69;0;208;148;497;10139;0
37276;63;42;89;43;0;2329;198;49;10138;0
37277;10;85;108;31;0;2469;191;493;10108;0
37278;72;53;9;39;0;2102;176;673;10065;72
37279;72;51;93;23;0;2006;151;40;10035;174
37280;92;53;113;19;0;220;27;677;9959;36
37281;41;27;55;26;0;2495;151;623;10156;108
37282;98;53;114;24;0;226;302;713;10065;12
37283;88;71;116;67;0;2411;18;594;10039;24
37284;112;76;141;77;0;2463;31;814;10131;6
37285;95;72;112;6;0;2492;234;691;10213;354
37286;114;97;141;1;0;2147;115;41;10181;162
37287;86;5;117;6;0;2342;191;778;10148;228
37288;99;58;125;0;0;2134;162;454;10184;174
37289;122;9;166;0;0;1816;133;392;1022;432
37290;114;76;155;1;0;1517;122;382;10166;468
37291;97;72;129;9;0;2134;238;882;10156;162
37292;11;89;135;84;0;2145;202;608;10045;0
37293;79;53;10;3;0;2318;166;421;10031;138
37294;63;5;74;11;0;2454;158;45;10169;24
37295;84;45;108;1;0;2384;191;45;10166;12
37296;101;66;12;77;0;2341;212;608;10063;0
37297;64;5;78;94;0;2496;187;565;10065;6
37298;98;75;118;8;0;2362;277;594;10047;0
37299;114;76;13;34;0;2563;299;752;10076;144
37300;71;43;91;0;0;3101;101;338;10155;60
37301;2;-3;43;0;0;583;169;49;10274;510
37302;23;-9;76;0;0;565;122;349;10316;564
37303;34;-15;91;0;0;351;76;331;10291;570
37304;19;-23;72;0;0;1421;54;266;1021;228
37305;29;8;48;16;0;236;126;385;10175;0
37306;35;23;57;213;0;2502;194;806;10128;18
37307;57;23;87;77;0;238;18;518;9931;36
37308;1;-11;38;12;0;3156;162;569;10115;420
37309;41;2;72;94;10;2241;238;605;10008;0
37310;27;3;52;21;0;2516;277;691;9954;12
37311;2;4;51;21;10;2567;173;475;10057;102
37312;4;7;93;128;0;1451;86;443;10025;0
37313;96;53;133;99;0;2333;295;893;9928;114
37314;62;42;85;4;0;2297;23;677;9969;180
37315;49;19;77;98;0;2406;223;598;10002;54
37316;3;-23;51;69;0;2586;119;443;10091;0
37317;-1;-47;48;0;0;2053;61;281;10147;576
37318;29;7;53;2;0;2562;119;317;10178;0
37319;55;39;73;3;0;2215;72;238;10192;0
37320;64;46;83;0;0;1315;47;14;10133;0
37321;67;46;87;3;0;2354;202;576;10058;0
37322;82;41;11;48;0;2713;284;781;10095;138
37323;59;-1;107;0;0;2097;97;367;10238;318
37324;76;43;94;42;0;2282;176;86;10109;0
37325;63;36;105;0;0;235;202;734;10157;474
37326;97;5;162;0;0;1835;94;313;10156;534
37327;99;51;136;5;0;875;5;184;1015;6
37328;57;24;82;22;0;285;86;338;10154;0
37329;31;9;54;9;0;603;191;518;10165;120
37330;25;13;39;1;0;936;137;439;10163;54
37331;76;29;125;0;0;1085;122;461;10164;480
37332;11;62;164;0;0;1357;119;335;10114;258
37333;123;83;163;66;0;174;148;63;10041;186
37334;89;74;103;42;0;2498;227;598;10006;24
37335;89;63;133;53;0;2524;133;63;10098;66
